competitiveOrdering,false,false
belowThreshold,false,false
aboveThreshold,false,false
aboveThresholdUA,false,false
aboveThresholdEU,true,true
negotiation,false,false
negotiation.quick,false,false
simple.defense,false,false
competitiveDialogueUA,true,true
competitiveDialogueEU,true,true
competitiveDialogueUA.stage2,false,false
competitiveDialogueEU.stage2,true,true
reporting,false,false
esco,true,true
closeFrameworkAgreementUA,true,true
closeFrameworkAgreementSelectionUA,false,false
priceQuotation,false,false
aboveThresholdUA.defense,false,false